timestamp,page,action,parameters
2026-01-05T16:27:29.453616,Operator Scheduling,run model error,"{""error"": ""'gurobipy._core.LinExpr' object is not subscriptable"", ""fairness"": true, ""allowable_pct"": 1.8, ""consider_skills"": false}"
2026-01-05T16:27:33.601142,Operator Scheduling,run model,"{""fairness"": false, ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1721.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:38:44.210822,Operator Scheduling,run model,"{""fairness"": false, ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1721.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:38:56.403807,Operator Scheduling,run model,"{""fairness"": false, ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1721.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:42:29.493510,Operator Scheduling,run model,"{""fairness"": false, ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1762.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:42:37.012907,Operator Scheduling,run model,"{""fairness"": false, ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1762.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:43:37.898313,Operator Scheduling,run model,"{""fairness"": false, ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1762.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:43:46.174966,Operator Scheduling,run model,"{""fairness"": false, ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1762.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:46:42.862452,Operator Scheduling,run model error,"{""error"": ""'gurobipy._core.LinExpr' object is not subscriptable"", ""fairness"": true, ""allowable_pct"": 1.8, ""consider_skills"": false}"
2026-01-05T16:47:49.689168,Operator Scheduling,run model,"{""fairness"": false, ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:47:54.729540,Operator Scheduling,run model,"{""fairness"": false, ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:48:16.215734,Operator Scheduling,run model error,"{""error"": ""'gurobipy._core.LinExpr' object is not subscriptable"", ""fairness"": true, ""allowable_pct"": 3.1, ""consider_skills"": false}"
2026-01-05T16:48:56.077491,Operator Scheduling,run model error,"{""error"": ""'gurobipy._core.LinExpr' object is not subscriptable"", ""fairness"": true, ""allowable_pct"": 3.1, ""consider_skills"": false}"
2026-01-05T16:49:36.840088,Operator Scheduling,run model error,"{""error"": ""'gurobipy._core.LinExpr' object is not subscriptable"", ""fairness"": true, ""allowable_pct"": 3.1, ""consider_skills"": false}"
2026-01-05T16:49:51.401382,Operator Scheduling,run model error,"{""error"": ""'gurobipy._core.LinExpr' object is not subscriptable"", ""fairness"": true, ""allowable_pct"": 1.8, ""consider_skills"": false}"
2026-01-05T16:53:16.659126,Operator Scheduling,run model,"{""fairness"": false, ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:53:25.808614,Operator Scheduling,run model,"{""fairness"": true, ""allowable_pct"": 1.8, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:53:41.364093,Operator Scheduling,run model,"{""fairness"": true, ""allowable_pct"": 30.0, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:59:47.897217,Operator Scheduling,run model,"{""fairness"": true, ""allowable_pct"": 30.0, ""consider_skills"": true, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:59:59.697588,Operator Scheduling,run model,"{""fairness"": false, ""allowable_pct"": null, ""consider_skills"": true, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T17:08:37.291701,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": true, ""baseline_cost"": null, ""status"": ""OPTIMAL""}"
2026-01-05T17:08:46.640646,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": true, ""baseline_cost"": 1762.0, ""status"": ""OPTIMAL""}"
2026-01-05T17:08:57.822603,Operator Scheduling,run model,"{""fairness_mode"": ""Fairness only (ignore cost)"", ""allowable_pct"": null, ""consider_skills"": true, ""baseline_cost"": 1762.0, ""status"": ""OPTIMAL""}"
2026-01-05T17:15:11.778964,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1762.0, ""status"": ""OPTIMAL""}"
2026-01-05T17:15:26.318003,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1762.0, ""status"": ""OPTIMAL""}"
2026-01-05T17:22:40.544957,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T17:23:46.525624,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T17:24:58.611735,Operator Scheduling,run model,"{""fairness_mode"": ""Fairness (cost-bounded)"", ""allowable_pct"": 1.8, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T17:25:07.773399,Operator Scheduling,run model,"{""fairness_mode"": ""Fairness (cost-bounded)"", ""allowable_pct"": 1.8, ""consider_skills"": true, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T17:41:07.008704,Operator Scheduling,run model,"{""fairness_mode"": ""Fairness (cost-bounded)"", ""allowable_pct"": 1.8, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T17:49:45.298008,Operator Scheduling,run model,"{""fairness_mode"": ""Fairness (cost-bounded)"", ""allowable_pct"": 1.8, ""consider_skills"": true, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T17:51:37.962808,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T17:52:31.848847,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T18:13:51.947622,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T18:18:55.375904,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T18:24:47.481488,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T18:35:25.913166,Operator Scheduling,run model error,"{""error"": ""name '_ordered_days' is not defined"", ""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false}"
2026-01-05T18:35:48.218044,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T18:46:40.246484,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T19:01:11.594138,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": true, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T19:07:05.071365,AED Patient List,edit data,"{""id"": ""P12697"", ""fields"": {""Age"": 25.0, ""LoS"": 147.0, ""noofinvestigation"": 0.0, ""nooftreatment"": 1.0}}"
2026-01-05T19:07:29.150219,AED Patient List,delete data,"{""id"": ""P12697""}"
2026-01-05T19:09:02.291194,AED Patient List,delete data,"{""id"": ""P13933""}"
2026-01-05T19:10:06.436494,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-06T13:37:43.519931,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-06T14:50:59.224764,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-06T15:14:15.293231,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-06T15:44:48.414378,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-06T15:51:10.351601,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-06T15:51:26.750801,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-06T18:37:10.154727,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-06T18:37:32.631252,Operator Scheduling,run model,"{""fairness_mode"": ""Fairness (cost-bounded)"", ""allowable_pct"": 1.8, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-06T18:37:51.561780,Operator Scheduling,run model,"{""fairness_mode"": ""Fairness only (ignore cost)"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-06T18:38:09.792450,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": true, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-06T18:38:19.443591,Operator Scheduling,run model,"{""fairness_mode"": ""Fairness (cost-bounded)"", ""allowable_pct"": 5.0, ""consider_skills"": true, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-06T18:38:29.142322,Operator Scheduling,run model,"{""fairness_mode"": ""Fairness only (ignore cost)"", ""allowable_pct"": null, ""consider_skills"": true, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-06T19:14:12.319808,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-06T19:15:49.016907,Operator Scheduling,run model,"{""fairness_mode"": ""Fairness (cost-bounded)"", ""allowable_pct"": 1.8, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-06T19:17:26.521354,Operator Scheduling,run model,"{""fairness_mode"": ""Fairness only (ignore cost)"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-06T19:19:19.010859,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": true, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-06T19:20:00.959368,Operator Scheduling,run model,"{""fairness_mode"": ""Fairness (cost-bounded)"", ""allowable_pct"": 1.8, ""consider_skills"": true, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-06T19:20:16.762058,Operator Scheduling,run model,"{""fairness_mode"": ""Fairness only (ignore cost)"", ""allowable_pct"": null, ""consider_skills"": true, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-06T19:24:18.040861,AED Patient List,edit,"{""id"": ""P12697""}"
2026-01-06T19:24:51.174046,AED Patient List,delete,"{""id"": ""P12697""}"
2026-01-06T19:25:55.783109,AED Patient List,edit,"{""id"": ""P13933""}"
2026-01-10T02:40:20.329730,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T02:40:41.548270,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T02:42:00.428262,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T02:48:59.237809,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T02:58:40.368606,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T02:58:44.526893,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T02:59:46.050674,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T03:02:24.939955,AED Patient List,edit,"{""id"": ""P12697""}"
2026-01-10T03:02:36.035593,AED Patient List,edit,"{""id"": ""P12697""}"
2026-01-10T03:02:40.665978,AED Patient List,edit,"{""id"": ""P12697""}"
2026-01-10T03:02:51.617381,AED Patient List,edit,"{""id"": ""P12697""}"
2026-01-10T03:03:11.351457,AED Patient List,edit,"{""id"": ""P12697""}"
2026-01-10T03:03:20.418285,AED Patient List,edit,"{""id"": ""P12697""}"
2026-01-10T03:03:27.077335,AED Patient List,edit,"{""id"": ""P12697""}"
2026-01-10T03:04:24.520132,AED Patient List,edit,"{""id"": ""P12697""}"
2026-01-10T03:05:36.652934,AED Patient List,edit,"{""id"": ""P12697""}"
2026-01-10T03:05:47.489849,AED Patient List,edit,"{""id"": ""P12697""}"
2026-01-10T03:06:01.333383,AED Patient List,edit,"{""id"": ""P12697""}"
2026-01-10T03:06:17.408302,AED Patient List,edit,"{""id"": ""P12697""}"
2026-01-10T03:06:29.756282,AED Patient List,edit,"{""id"": ""P12697""}"
2026-01-10T03:07:34.539729,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T03:08:28.954508,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T03:19:13.364271,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T03:26:59.137686,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T03:31:44.033473,Operator Scheduling,run model,"{""fairness_mode"": ""Fairness (cost-bounded)"", ""allowable_pct"": 5.0, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T03:32:04.693017,Operator Scheduling,run model,"{""fairness_mode"": ""Fairness only (ignore cost)"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T03:32:18.993127,Operator Scheduling,run model,"{""fairness_mode"": ""Fairness only (ignore cost)"", ""allowable_pct"": null, ""consider_skills"": true, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T03:33:37.522724,AED Patient List,edit,"{""id"": ""P12697"", ""changes"": {""LoS"": {""from"": ""241"", ""to"": ""21""}}, ""edited_columns"": [""LoS""]}"
2026-01-10T03:33:46.382618,AED Patient List,edit,"{""id"": ""P12697"", ""changes"": {}}"
2026-01-10T03:34:17.538221,AED Patient List,edit,"{""id"": ""P12697"", ""changes"": {}}"
2026-01-10T03:34:21.029066,AED Patient List,edit,"{""id"": ""P12697"", ""changes"": {}}"
2026-01-10T03:34:38.938449,AED Patient List,edit,"{""id"": ""P12697"", ""changes"": {}}"
2026-01-10T03:35:10.265682,AED Patient List,edit,"{""id"": ""P12697"", ""changes"": {""LoS"": {""from"": ""147"", ""to"": ""21""}}, ""edited_columns"": [""LoS""]}"
2026-01-10T03:35:22.717587,AED Patient List,edit,"{""id"": ""P12697"", ""changes"": {""LoS"": {""from"": ""21"", ""to"": ""240""}}, ""edited_columns"": [""LoS""]}"
2026-01-10T03:35:28.158276,AED Patient List,edit,"{""id"": ""P12697"", ""changes"": {}}"
2026-01-10T03:35:33.959435,AED Patient List,edit,"{""id"": ""P12697"", ""changes"": {""LoS"": {""from"": ""240"", ""to"": ""241""}, ""Breachornot"": {""from"": ""non-breach"", ""to"": ""breach""}}, ""edited_columns"": [""LoS"", ""Breachornot""]}"
2026-01-10T03:40:42.047133,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T04:01:33.188493,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T05:08:19.897692,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T12:46:34.960211,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T12:47:34.351609,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T14:09:32.950829,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T14:09:39.056171,Operator Scheduling,run model,"{""fairness_mode"": ""Min cost"", ""allowable_pct"": null, ""consider_skills"": true, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-10T14:09:53.844449,Operator Scheduling,run model,"{""fairness_mode"": ""Fairness (cost-bounded)"", ""allowable_pct"": 5.0, ""consider_skills"": true, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
